БИН,НДС,Наименование товара,Кол-во,Цена за единиц
080841000761,58001,"Натрия хлорид 0,9%, 200 мл, фл","2,000","154,00"
080841000761,58001,"Борный спирт 3%, 20 мл, фл.","1,000","51,00"
080841000761,58001,"Шприц 2 мл, 3-х комп. (Bioject)","2,000","16,00"
080841000761,58001,Система для инфузии Vogt Medical,"2,000","60,00"
080841000761,58001,Naturella прокладки Классик макси №8,"1,000","310,00"
080841000761,58001,AURA Ватные диски №150,"1,000","461,00"
080841000761,58001,Чистая линия скраб мягкий 50 мл,"1,000","381,00"
080841000761,58001,Чистая линия  скраб очищающийабрикос 50 мл,"1,000","386,00"
080841000761,58001,Чистая линия скраб мягкий 50 мл,"1,000","381,00"
080841000761,58001,Carefree салфетки Алоэвоздухопроницаемые №20,"1,000","414,00"
080841000761,58001,Pro Series Шампунь яркий цвет 500мл,"1,000","841,00"
080841000761,58001,Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,"1,000","841,00"
080841000761,58001,Clear шампунь Актив спорт 2в1мужской  400 мл,"1,000","1 200,00"
080841000761,58001,"Bio World (HYDRO THERAPY)Мицеллярная вода 5в1, 445мл","1,000","1 152,00"
080841000761,58001,"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл","1,000","1 152,00"
080841000761,58001,"[RX]-Натрия хлорид 0,9%, 100 мл, фл.","1,000","168,00"
080841000761,58001,"[RX]-Дисоль р-р 400 мл, фл.","1,000","163,00"
080841000761,58001,"Тагансорбент с иономи серебра №30,пор.","1,000","1 526,00"
080841000761,58001,"[RX]-Церукал 2%, 2 мл, №10, амп.","2,000","396,00"
080841000761,58001,"[RX]-Андазол 200 мг, №40, табл.","1,000","7 330,00"
